Brand,Screen_Size,Ram,Rating,OS_Family_Other,OS_Family_Windows,OS_Family_macOS,Disk_GB,CPU_Vendor,CPU_Family,CPU_Class,CPU_Arch,Price
LG,15.6,16,4.4,False,True,False,512.0,Intel,i5,Mobile-U/G,x86,919.99
ASUS,15.6,4,4.4,False,True,False,128.0,Intel,Celeron,Desktop/Unknown,x86,194.99
Microsoft,15.0,16,3.9,False,True,False,256.0,Intel,i7,Mobile-U/G,x86,800.1
SAMSUNG,11.6,2,3.7,False,False,False,16.0,ARM,Exynos,Other,ARM,49.99
MSI,15.6,16,4.6,False,True,False,512.0,Intel,i7,Desktop/Unknown,x86,1199.0
ASUS,14.0,4,4.5,False,True,False,128.0,Intel,Celeron,Desktop/Unknown,x86,209.0
HP,15.6,16,4.4,False,True,False,512.0,Intel,i5,Mobile-U/G,x86,807.99
HP,11.6,4,4.5,False,True,False,64.0,Intel,Celeron,Desktop/Unknown,x86,159.0
Alienware,17.3,16,3.5,False,True,False,512.0,Unknown,i7,Other,x86,1999.95
LG,16.0,16,5.0,False,True,False,2048.0,Intel,i7,Desktop/Unknown,x86,1849.0
Dell,13.4,32,2.0,False,True,False,1024.0,Intel,i7,Desktop/Unknown,x86,1999.0
SAMSUNG,11.6,4,4.3,False,False,False,32.0,Intel,Celeron,Desktop/Unknown,x86,278.0
ASUS,15.6,20,4.3,False,True,False,1024.0,Intel,i3,Desktop/Unknown,x86,469.0
ASUS,14.0,8,4.4,False,True,False,512.0,Intel,i5,Mobile-U/G,x86,778.61
HP,13.3,8,4.3,False,True,False,256.0,Intel,i5,Desktop/Unknown,x86,565.0
Dell,15.6,16,5.0,False,True,False,1024.0,Intel,i5,Desktop/Unknown,x86,639.0
Acer,11.6,4,4.4,False,False,False,32.0,ARM,MediaTek,Other,ARM,200.0
ASUS,15.6,8,4.1,False,False,False,64.0,Intel,Celeron,Desktop/Unknown,x86,223.99
ASUS,14.0,8,4.3,True,False,False,64.0,Unknown,Other,Other,x86,249.0
ASUS,15.6,16,4.2,False,True,False,512.0,AMD,Ryzen7,Other,x86,1149.99
EXCaliberPC,17.3,16,5.0,False,True,False,512.0,Intel,i7,Desktop/Unknown,x86,2349.0
Toughbook,14.0,8,4.2,False,True,False,512.0,Intel,i5,Desktop/Unknown,x86,2689.99
HP,15.6,32,4.6,False,True,False,1000.0,Intel,i3,Desktop/Unknown,x86,679.99
MSI,15.6,16,3.9,False,True,False,1024.0,Intel,i7,Desktop/Unknown,x86,1799.0
EXCaliberPC,15.6,16,5.0,False,True,False,512.0,Intel,i7,Desktop/Unknown,x86,1749.0
Microsoft,13.5,8,4.1,False,True,False,256.0,Intel,i5,Desktop/Unknown,x86,962.99
Dell,15.6,4,4.1,False,True,False,128.0,Intel,Celeron,Desktop/Unknown,x86,319.99
LG,17.0,16,4.3,False,True,False,1024.0,Intel,i7,Desktop/Unknown,x86,1409.99
MSI,17.3,16,4.0,False,True,False,512.0,Intel,i7,Desktop/Unknown,x86,1704.96
ASUS,15.6,8,4.7,False,True,False,512.0,AMD,Ryzen5,Other,x86,748.9
